column,n_obs,first
fsbi_txn_sa_mom_lag2,89,2019-04-01
fsbi_sales_nsa_mom_lag2,89,2019-04-01
fsbi_txn_nsa_mom_lag2,89,2019-04-01
fsbi_ticket_sa_mom_lag2,89,2019-04-01
fsbi_ticket_nsa_mom_lag2,89,2019-04-01
fsbi_sales_sa_yoy_lag2,78,2020-03-01
fsbi_txn_sa_yoy_lag2,78,2020-03-01
fsbi_sales_nsa_yoy_lag2,78,2020-03-01
fsbi_txn_nsa_yoy_lag2,78,2020-03-01
fsbi_ticket_sa_yoy_lag2,78,2020-03-01
fsbi_ticket_nsa_yoy_lag2,78,2020-03-01
fsbi_sales_sa_mom_lag3,88,2019-05-01
fsbi_txn_sa_mom_lag3,88,2019-05-01
fsbi_sales_nsa_mom_lag3,88,2019-05-01
fsbi_txn_nsa_mom_lag3,88,2019-05-01
fsbi_ticket_sa_mom_lag3,88,2019-05-01
fsbi_ticket_nsa_mom_lag3,88,2019-05-01
fsbi_sales_sa_yoy_lag3,77,2020-04-01
fsbi_txn_sa_yoy_lag3,77,2020-04-01
fsbi_sales_nsa_yoy_lag3,77,2020-04-01
fsbi_txn_nsa_yoy_lag3,77,2020-04-01
fsbi_ticket_sa_yoy_lag3,77,2020-04-01
fsbi_ticket_nsa_yoy_lag3,77,2020-04-01
fsbi_sales_sa_mom_lag6,85,2019-08-01
fsbi_txn_sa_mom_lag6,85,2019-08-01
fsbi_sales_nsa_mom_lag6,85,2019-08-01
fsbi_txn_nsa_mom_lag6,85,2019-08-01
fsbi_ticket_sa_mom_lag6,85,2019-08-01
fsbi_ticket_nsa_mom_lag6,85,2019-08-01
fsbi_sales_sa_yoy_lag6,74,2020-07-01
fsbi_txn_sa_yoy_lag6,74,2020-07-01
fsbi_sales_nsa_yoy_lag6,74,2020-07-01
fsbi_txn_nsa_yoy_lag6,74,2020-07-01
fsbi_ticket_sa_yoy_lag6,74,2020-07-01
fsbi_ticket_nsa_yoy_lag6,74,2020-07-01
fsbi_sales_sa_mom_lag12,79,2020-02-01
fsbi_txn_sa_mom_lag12,79,2020-02-01
fsbi_sales_nsa_mom_lag12,79,2020-02-01
fsbi_txn_nsa_mom_lag12,79,2020-02-01
fsbi_ticket_sa_mom_lag12,79,2020-02-01
fsbi_ticket_nsa_mom_lag12,79,2020-02-01
fsbi_sales_sa_yoy_lag12,68,2021-01-01
fsbi_txn_sa_yoy_lag12,68,2021-01-01
fsbi_sales_nsa_yoy_lag12,68,2021-01-01
fsbi_txn_nsa_yoy_lag12,68,2021-01-01
fsbi_ticket_sa_yoy_lag12,68,2021-01-01
fsbi_ticket_nsa_yoy_lag12,68,2021-01-01
